,feature,unique_vals
400,TBK_temp. max_[ni]_[5.5_6.6]_[tg],476
401,TBK_temp. max_[ni]_[5.5_6.6]_[std],194
402,abs_TBK_temp. average_[ni]_[5.5_6.6]_[max],140
403,abs_TBK_temp. average_[ni]_[5.5_6.6]_[min],110
404,abs_TBK_temp. average_[ni]_[5.5_6.6]_[median],128
405,abs_TBK_temp. average_[ni]_[5.5_6.6]_[mean],299
406,abs_TBK_temp. average_[ni]_[5.5_6.6]_[tg],483
407,abs_TBK_temp. average_[ni]_[5.5_6.6]_[std],195
408,abs_TBK_temp. max_[ni]_[5.5_6.6]_[max],136
409,abs_TBK_temp. max_[ni]_[5.5_6.6]_[min],105
410,abs_TBK_temp. max_[ni]_[5.5_6.6]_[median],123
411,abs_TBK_temp. max_[ni]_[5.5_6.6]_[mean],295
412,abs_TBK_temp. max_[ni]_[5.5_6.6]_[tg],476
413,abs_TBK_temp. max_[ni]_[5.5_6.6]_[std],194
414,TBK_temp. average_[ni]_[6.6_9.6]_[max],112
415,TBK_temp. average_[ni]_[6.6_9.6]_[min],140
416,TBK_temp. average_[ni]_[6.6_9.6]_[median],132
417,TBK_temp. average_[ni]_[6.6_9.6]_[mean],450
418,TBK_temp. average_[ni]_[6.6_9.6]_[tg],926
419,TBK_temp. average_[ni]_[6.6_9.6]_[std],408
420,TBK_temp. max_[ni]_[6.6_9.6]_[max],99
421,TBK_temp. max_[ni]_[6.6_9.6]_[min],136
422,TBK_temp. max_[ni]_[6.6_9.6]_[median],129
423,TBK_temp. max_[ni]_[6.6_9.6]_[mean],448
424,TBK_temp. max_[ni]_[6.6_9.6]_[tg],921
425,TBK_temp. max_[ni]_[6.6_9.6]_[std],409
426,abs_TBK_temp. average_[ni]_[6.6_9.6]_[max],112
427,abs_TBK_temp. average_[ni]_[6.6_9.6]_[min],140
428,abs_TBK_temp. average_[ni]_[6.6_9.6]_[median],132
429,abs_TBK_temp. average_[ni]_[6.6_9.6]_[mean],450
430,abs_TBK_temp. average_[ni]_[6.6_9.6]_[tg],926
431,abs_TBK_temp. average_[ni]_[6.6_9.6]_[std],408
432,abs_TBK_temp. max_[ni]_[6.6_9.6]_[max],99
433,abs_TBK_temp. max_[ni]_[6.6_9.6]_[min],136
434,abs_TBK_temp. max_[ni]_[6.6_9.6]_[median],129
435,abs_TBK_temp. max_[ni]_[6.6_9.6]_[mean],448
436,abs_TBK_temp. max_[ni]_[6.6_9.6]_[tg],921
437,abs_TBK_temp. max_[ni]_[6.6_9.6]_[std],409
438,TBK_temp. average_[ni]_[9.6_25]_[max],51
439,TBK_temp. average_[ni]_[9.6_25]_[min],112
440,TBK_temp. average_[ni]_[9.6_25]_[median],53
441,TBK_temp. average_[ni]_[9.6_25]_[mean],485
442,TBK_temp. average_[ni]_[9.6_25]_[tg],1583
443,TBK_temp. average_[ni]_[9.6_25]_[std],482
444,TBK_temp. max_[ni]_[9.6_25]_[max],45
445,TBK_temp. max_[ni]_[9.6_25]_[min],99
446,TBK_temp. max_[ni]_[9.6_25]_[median],45
447,TBK_temp. max_[ni]_[9.6_25]_[mean],482
448,TBK_temp. max_[ni]_[9.6_25]_[tg],1557
449,TBK_temp. max_[ni]_[9.6_25]_[std],482
450,abs_TBK_temp. average_[ni]_[9.6_25]_[max],51
451,abs_TBK_temp. average_[ni]_[9.6_25]_[min],112
452,abs_TBK_temp. average_[ni]_[9.6_25]_[median],53
453,abs_TBK_temp. average_[ni]_[9.6_25]_[mean],485
454,abs_TBK_temp. average_[ni]_[9.6_25]_[tg],1583
455,abs_TBK_temp. average_[ni]_[9.6_25]_[std],482
456,abs_TBK_temp. max_[ni]_[9.6_25]_[max],45
457,abs_TBK_temp. max_[ni]_[9.6_25]_[min],99
458,abs_TBK_temp. max_[ni]_[9.6_25]_[median],45
459,abs_TBK_temp. max_[ni]_[9.6_25]_[mean],482
460,abs_TBK_temp. max_[ni]_[9.6_25]_[tg],1557
461,abs_TBK_temp. max_[ni]_[9.6_25]_[std],482
462,TBK_temp. average_[ni]_[25_30]_[max],56
463,TBK_temp. average_[ni]_[25_30]_[min],50
464,TBK_temp. average_[ni]_[25_30]_[median],58
465,TBK_temp. average_[ni]_[25_30]_[mean],482
466,TBK_temp. average_[ni]_[25_30]_[tg],788
467,TBK_temp. average_[ni]_[25_30]_[std],482
468,TBK_temp. max_[ni]_[25_30]_[max],52
469,TBK_temp. max_[ni]_[25_30]_[min],45
470,TBK_temp. max_[ni]_[25_30]_[median],53
471,TBK_temp. max_[ni]_[25_30]_[mean],480
472,TBK_temp. max_[ni]_[25_30]_[tg],761
473,TBK_temp. max_[ni]_[25_30]_[std],482
474,abs_TBK_temp. average_[ni]_[25_30]_[max],56
475,abs_TBK_temp. average_[ni]_[25_30]_[min],50
476,abs_TBK_temp. average_[ni]_[25_30]_[median],58
477,abs_TBK_temp. average_[ni]_[25_30]_[mean],482
478,abs_TBK_temp. average_[ni]_[25_30]_[tg],788
479,abs_TBK_temp. average_[ni]_[25_30]_[std],482
480,abs_TBK_temp. max_[ni]_[25_30]_[max],52
481,abs_TBK_temp. max_[ni]_[25_30]_[min],45
482,abs_TBK_temp. max_[ni]_[25_30]_[median],53
483,abs_TBK_temp. max_[ni]_[25_30]_[mean],480
484,abs_TBK_temp. max_[ni]_[25_30]_[tg],761
485,abs_TBK_temp. max_[ni]_[25_30]_[std],482
486,TBK_temp. average_[ni]_[-3_end]_[max],55
487,TBK_temp. average_[ni]_[-3_end]_[min],58
488,TBK_temp. average_[ni]_[-3_end]_[median],54
489,TBK_temp. average_[ni]_[-3_end]_[mean],487
490,TBK_temp. average_[ni]_[-3_end]_[tg],776
491,TBK_temp. average_[ni]_[-3_end]_[std],484
492,TBK_temp. max_[ni]_[-3_end]_[max],48
493,TBK_temp. max_[ni]_[-3_end]_[min],55
494,TBK_temp. max_[ni]_[-3_end]_[median],52
495,TBK_temp. max_[ni]_[-3_end]_[mean],484
496,TBK_temp. max_[ni]_[-3_end]_[tg],739
497,TBK_temp. max_[ni]_[-3_end]_[std],484
498,abs_TBK_temp. average_[ni]_[-3_end]_[max],55
499,abs_TBK_temp. average_[ni]_[-3_end]_[min],58
